brand_name,generic_name,manufacturer,total_spending_2023,total_units_2023,total_claims_2023,total_beneficiaries_2023,avg_price_per_unit_2023,country,source
Vanos,Fluocinonide,Overall,26308.01,900.0,12,,29.231122222,US,Medicare Part D
Vaqta,Hepatitis A Virus Vaccine/PF,Overall,1191887.42,11618.0,11627,10556.0,102.63837776,US,Medicare Part D
Vardenafil HCl,Vardenafil HCl,Overall,625491.5,33257.0,5527,1629.0,18.835679822,US,Medicare Part D
Varenicline Tartrate,Varenicline Tartrate,Overall,189563598.63,32631268.29,490761,197586.0,5.8457331139,US,Medicare Part D
Varivax Vaccine,Varicella Vaccine Live/PF,Overall,508728.72,2671.0,2677,2193.0,190.46376638,US,Medicare Part D
Varubi,Rolapitant HCl,Overall,497575.28,1454.0,474,187.0,342.21133425,US,Medicare Part D
Vascepa,Icosapent Ethyl,Overall,763988446.53,244927465.16,1424930,279946.0,3.129286645,US,Medicare Part D
Vaseretic,Enalapril/Hydrochlorothiazide,Overall,80586.24,6407.0,101,30.0,12.577842984,US,Medicare Part D
Vasotec,Enalapril Maleate,Overall,3361198.79,134280.0,1323,276.0,25.436378287,US,Medicare Part D
Vectibix,Panitumumab,Overall,3629418.3,10650.0,351,64.0,340.7879497,US,Medicare Part D
Vectical,Calcitriol,Overall,1533565.94,986640.0,9059,5445.0,1.554331813,US,Medicare Part D
Veklury,Remdesivir,Overall,582564.88,4206.0,446,263.0,138.50805516,US,Medicare Part D
Velcade,Bortezomib,Overall,1878201.72,1109.6,399,72.0,1692.6835977,US,Medicare Part D
Veletri,Epoprostenol Sodium,Overall,759548.24,14390.0,254,23.0,52.783060459,US,Medicare Part D
Velivet,Desogestrel-Ethinyl Estradiol,Overall,34848.43,43188.0,803,147.0,0.8069007595,US,Medicare Part D
Velphoro,Sucroferric Oxyhydroxide,Overall,465812435.29,24795871.393,153366,36082.0,18.785886888,US,Medicare Part D
Veltassa,Patiromer Calcium Sorbitex,Overall,153775938.67,4213938.6,141554,43162.0,36.517198079,US,Medicare Part D
Vemlidy,Tenofovir Alafenamide,Overall,187858704.4,3855444.0,119837,13612.0,48.725569455,US,Medicare Part D
Venclexta,Venetoclax,Overall,814653974.96,6621207.0,89336,18792.0,118.55417862,US,Medicare Part D
Venclexta Starting Pack,Venetoclax,Overall,11230452.55,143737.0,3427,3396.0,78.131953151,US,Medicare Part D
Venlafaxine Besylate ER,Venlafaxine Besylate,Overall,433863.86,64470.0,1459,447.0,6.7297015666,US,Medicare Part D
Venlafaxine HCl,Venlafaxine HCl,Overall,22736621.92,63783984.5,727899,167773.0,0.3700299909,US,Medicare Part D
Venlafaxine HCl ER,Venlafaxine HCl,Overall,151208248.21,357425008.8,5232598,954551.0,0.4580958995,US,Medicare Part D
Ventolin HFA,Albuterol Sulfate,Overall,192500837.95,57138959.382,2628723,956475.0,3.368994466,US,Medicare Part D
Veo Insulin Syringe,"Syrge-Ndl,Ins 0.3 Ml Half Mark",Overall,974446.25,5671507.0,32465,13663.0,0.1718143432,US,Medicare Part D
Veo Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",Overall,1359941.26,3889471.0,26003,10974.0,0.349646844,US,Medicare Part D
Veo Insulin Syringe,"Syringe And Needle,Insulin,1ml",Overall,3383390.67,15231672.555,91614,35825.0,0.2221286374,US,Medicare Part D
Veo Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",Overall,4433211.44,22615355.0,133706,49471.0,0.1960266129,US,Medicare Part D
Veozah,Fezolinetant,Overall,4494558.26,233948.0,5869,2837.0,19.211783217,US,Medicare Part D
Verapamil ER,Verapamil HCl,Overall,36758868.66,90113090.184,1028660,258464.0,0.4094479765,US,Medicare Part D
